deg,mos_pred,model
p230_Ask_her_to_generated_e2e.wav,3.0908210277557373,NISQA_TTS_v1
ref_p299_034_generated_e2e.wav,4.828075885772705,NISQA_TTS_v1
p256_Ask_her_to_generated_e2e.wav,3.410888433456421,NISQA_TTS_v1
p254_We_also_ne_generated_e2e.wav,2.85235595703125,NISQA_TTS_v1
p232_Ask_her_to_generated_e2e.wav,3.3533971309661865,NISQA_TTS_v1
p230_We_also_ne_generated_e2e.wav,2.9323742389678955,NISQA_TTS_v1
p239_Six_spoons_generated_e2e.wav,3.4091691970825195,NISQA_TTS_v1
p239_Please_cal_generated_e2e.wav,3.197627305984497,NISQA_TTS_v1
p225_Ask_her_to_generated_e2e.wav,2.989346504211426,NISQA_TTS_v1
ref_p233_016_generated_e2e.wav,4.624737739562988,NISQA_TTS_v1
p227_We_also_ne_generated_e2e.wav,2.6557304859161377,NISQA_TTS_v1
p236_We_also_ne_generated_e2e.wav,2.4459753036499023,NISQA_TTS_v1
p228_When_the_s_generated_e2e.wav,2.7858383655548096,NISQA_TTS_v1
p300_Six_spoons_generated_e2e.wav,3.7285571098327637,NISQA_TTS_v1
p258_Please_cal_generated_e2e.wav,1.9038071632385254,NISQA_TTS_v1
p258_Ask_her_to_generated_e2e.wav,2.6191961765289307,NISQA_TTS_v1
ref_p228_018_generated_e2e.wav,3.9919333457946777,NISQA_TTS_v1
p225_Six_spoons_generated_e2e.wav,3.090904951095581,NISQA_TTS_v1
p254_Ask_her_to_generated_e2e.wav,3.2764410972595215,NISQA_TTS_v1
p232_We_also_ne_generated_e2e.wav,3.365061044692993,NISQA_TTS_v1
p233_Ask_her_to_generated_e2e.wav,3.6122539043426514,NISQA_TTS_v1
p228_Six_spoons_generated_e2e.wav,3.506822109222412,NISQA_TTS_v1
p300_Ask_her_to_generated_e2e.wav,3.3931705951690674,NISQA_TTS_v1
ref_p236_011_generated_e2e.wav,2.8471648693084717,NISQA_TTS_v1
p254_Please_cal_generated_e2e.wav,2.7496707439422607,NISQA_TTS_v1
p254_When_the_s_generated_e2e.wav,2.900921106338501,NISQA_TTS_v1
p243_We_also_ne_generated_e2e.wav,3.021016836166382,NISQA_TTS_v1
p299_Six_spoons_generated_e2e.wav,3.42895245552063,NISQA_TTS_v1
p239_When_the_s_generated_e2e.wav,3.331664562225342,NISQA_TTS_v1
p236_When_the_s_generated_e2e.wav,3.0987160205841064,NISQA_TTS_v1
p243_Ask_her_to_generated_e2e.wav,3.1784541606903076,NISQA_TTS_v1
p239_We_also_ne_generated_e2e.wav,3.2403008937835693,NISQA_TTS_v1
p232_When_the_s_generated_e2e.wav,3.9296653270721436,NISQA_TTS_v1
p258_Six_spoons_generated_e2e.wav,2.883697271347046,NISQA_TTS_v1
p233_Please_cal_generated_e2e.wav,2.725019931793213,NISQA_TTS_v1
p233_We_also_ne_generated_e2e.wav,3.8011677265167236,NISQA_TTS_v1
p236_Please_cal_generated_e2e.wav,1.5852677822113037,NISQA_TTS_v1
p228_Ask_her_to_generated_e2e.wav,3.731673002243042,NISQA_TTS_v1
p230_Six_spoons_generated_e2e.wav,3.2376747131347656,NISQA_TTS_v1
ref_p230_007_generated_e2e.wav,3.5725717544555664,NISQA_TTS_v1
p239_Ask_her_to_generated_e2e.wav,3.329444169998169,NISQA_TTS_v1
p225_We_also_ne_generated_e2e.wav,2.8163068294525146,NISQA_TTS_v1
p256_We_also_ne_generated_e2e.wav,3.669217348098755,NISQA_TTS_v1
ref_p258_021_generated_e2e.wav,4.65300989151001,NISQA_TTS_v1
p233_Six_spoons_generated_e2e.wav,3.9023475646972656,NISQA_TTS_v1
p233_When_the_s_generated_e2e.wav,3.871572256088257,NISQA_TTS_v1
ref_p227_003_generated_e2e.wav,4.036195755004883,NISQA_TTS_v1
p258_When_the_s_generated_e2e.wav,2.666308641433716,NISQA_TTS_v1
ref_p231_007_generated_e2e.wav,3.906695604324341,NISQA_TTS_v1
p256_Please_cal_generated_e2e.wav,2.2151734828948975,NISQA_TTS_v1
p254_Six_spoons_generated_e2e.wav,3.0365562438964844,NISQA_TTS_v1
p230_When_the_s_generated_e2e.wav,3.4040558338165283,NISQA_TTS_v1
p299_We_also_ne_generated_e2e.wav,3.3099749088287354,NISQA_TTS_v1
p300_We_also_ne_generated_e2e.wav,3.411391019821167,NISQA_TTS_v1
p228_Please_cal_generated_e2e.wav,2.8904073238372803,NISQA_TTS_v1
p231_Ask_her_to_generated_e2e.wav,2.85042667388916,NISQA_TTS_v1
p236_Ask_her_to_generated_e2e.wav,2.7834274768829346,NISQA_TTS_v1
p300_When_the_s_generated_e2e.wav,3.620497465133667,NISQA_TTS_v1
ref_p225_001_generated_e2e.wav,3.7805967330932617,NISQA_TTS_v1
p231_When_the_s_generated_e2e.wav,3.322664499282837,NISQA_TTS_v1
p228_We_also_ne_generated_e2e.wav,2.960111141204834,NISQA_TTS_v1
ref_p243_015_generated_e2e.wav,3.5575461387634277,NISQA_TTS_v1
p299_Please_cal_generated_e2e.wav,2.8840744495391846,NISQA_TTS_v1
ref_p256_020_generated_e2e.wav,3.956683397293091,NISQA_TTS_v1
p232_Six_spoons_generated_e2e.wav,3.5096819400787354,NISQA_TTS_v1
p300_Please_cal_generated_e2e.wav,3.357534408569336,NISQA_TTS_v1
p227_Six_spoons_generated_e2e.wav,2.802809476852417,NISQA_TTS_v1
p243_When_the_s_generated_e2e.wav,3.114345073699951,NISQA_TTS_v1
p232_Please_cal_generated_e2e.wav,2.9798803329467773,NISQA_TTS_v1
ref_p239_014_generated_e2e.wav,3.7526581287384033,NISQA_TTS_v1
p225_When_the_s_generated_e2e.wav,2.869276285171509,NISQA_TTS_v1
p227_When_the_s_generated_e2e.wav,2.6921074390411377,NISQA_TTS_v1
p299_When_the_s_generated_e2e.wav,3.62009596824646,NISQA_TTS_v1
ref_p300_035_generated_e2e.wav,3.517385482788086,NISQA_TTS_v1
ref_p232_005_generated_e2e.wav,4.102397441864014,NISQA_TTS_v1
p225_Please_cal_generated_e2e.wav,3.019735097885132,NISQA_TTS_v1
p227_Ask_her_to_generated_e2e.wav,2.2886977195739746,NISQA_TTS_v1
p256_When_the_s_generated_e2e.wav,3.5076804161071777,NISQA_TTS_v1
p243_Six_spoons_generated_e2e.wav,3.0102248191833496,NISQA_TTS_v1
p230_Please_cal_generated_e2e.wav,2.7075610160827637,NISQA_TTS_v1
p258_We_also_ne_generated_e2e.wav,3.016209363937378,NISQA_TTS_v1
ref_p254_008_generated_e2e.wav,4.866017818450928,NISQA_TTS_v1
p236_Six_spoons_generated_e2e.wav,2.9744014739990234,NISQA_TTS_v1
p231_Please_cal_generated_e2e.wav,2.2192130088806152,NISQA_TTS_v1
p227_Please_cal_generated_e2e.wav,2.167058229446411,NISQA_TTS_v1
p231_We_also_ne_generated_e2e.wav,3.3232667446136475,NISQA_TTS_v1
p243_Please_cal_generated_e2e.wav,2.3876936435699463,NISQA_TTS_v1
p231_Six_spoons_generated_e2e.wav,3.3337249755859375,NISQA_TTS_v1
p299_Ask_her_to_generated_e2e.wav,3.854501962661743,NISQA_TTS_v1
p256_Six_spoons_generated_e2e.wav,3.0140349864959717,NISQA_TTS_v1
